person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,loan_status
24,30000,MORTGAGE,0,DEBTCONSOLIDATION,6000,13.57,0.2,2,0
26,30000,MORTGAGE,0,VENTURE,3500,8,0.12,4,0
22,30000,MORTGAGE,4,EDUCATION,5000,11.89,0.17,4,1
21,30000,MORTGAGE,0,PERSONAL,4750,9.63,0.16,2,1
22,37080,RENT,6,PERSONAL,2400,10.65,0.06,3,1
23,30000,MORTGAGE,0,MEDICAL,8000,,0.27,3,1
24,54000,RENT,3,MEDICAL,2400,13.49,0.04,4,1
26,54000,RENT,2,HOMEIMPROVEMENT,2400,14.09,0.04,2,1
25,87999,RENT,5,PERSONAL,2400,14.79,0.03,4,1
26,16000,RENT,1,VENTURE,2450,,0.15,2,1
21,10800,RENT,4,PERSONAL,2500,8.88,0.23,2,1
21,12000,RENT,,MEDICAL,2500,11.99,0.21,4,1
21,12540,RENT,,HOMEIMPROVEMENT,2500,7.88,0.2,2,1
24,12600,RENT,2,VENTURE,2500,13.11,0.2,2,1
24,31000,RENT,8,VENTURE,13500,13.43,0.44,4,1
21,38000,RENT,5,EDUCATION,13500,9.91,0.36,3,1
22,43000,RENT,6,PERSONAL,13500,10.95,0.31,3,1
22,30288,OWN,0,EDUCATION,5000,19.47,0.17,3,1
23,35000,RENT,6,DEBTCONSOLIDATION,13475,10.65,0.39,3,1
23,30652,MORTGAGE,4,DEBTCONSOLIDATION,6000,14.54,0.2,2,1
23,29000,RENT,1,VENTURE,13475,14.26,0.46,4,1
23,29000,RENT,4,MEDICAL,13450,12.61,0.46,3,1
24,35000,RENT,8,MEDICAL,13400,,0.38,3,1
26,38000,RENT,3,EDUCATION,13400,9.99,0.35,2,1
22,50000,RENT,0,DEBTCONSOLIDATION,13350,14.59,0.27,2,1
24,33000,RENT,2,DEBTCONSOLIDATION,13300,7.66,0.4,4,1
24,39875,RENT,7,PERSONAL,13300,16,0.33,4,1
25,24000,RENT,3,VENTURE,13250,10.37,0.55,2,1
22,30000,RENT,4,DEBTCONSOLIDATION,13250,16.4,0.44,3,1
