person_home_ownership,loan_intent,loan_int_rate,loan_percent_income,person_cred_hist_length,loan_status,income_to_age_ratio,loan_amt_to_income_ratio,emp_length_to_age_ratio
MORTGAGE,DEBTCONSOLIDATION,13.57,0.2,2,0,1250.0,0.2,0.0
MORTGAGE,VENTURE,8.0,0.12,4,0,1153.8461538461538,0.11666666666666667,0.0
MORTGAGE,EDUCATION,11.89,0.17,4,1,1363.6363636363637,0.16666666666666666,0.18181818181818182
MORTGAGE,PERSONAL,9.63,0.16,2,1,1428.5714285714287,0.15833333333333333,0.0
RENT,PERSONAL,10.65,0.06,3,1,1685.4545454545455,0.06472491909385113,0.2727272727272727
MORTGAGE,MEDICAL,11.36,0.27,3,1,1304.3478260869565,0.26666666666666666,0.0
RENT,MEDICAL,13.49,0.04,4,1,2250.0,0.044444444444444446,0.125
RENT,HOMEIMPROVEMENT,14.09,0.04,2,1,2076.923076923077,0.044444444444444446,0.07692307692307693
RENT,PERSONAL,14.79,0.03,4,1,3519.96,0.027273037193604473,0.2
RENT,VENTURE,11.36,0.15,2,1,615.3846153846154,0.153125,0.038461538461538464
RENT,PERSONAL,8.88,0.23,2,1,514.2857142857143,0.23148148148148148,0.19047619047619047
RENT,MEDICAL,11.99,0.21,4,1,571.4285714285714,0.20833333333333334,0.0
RENT,HOMEIMPROVEMENT,7.88,0.2,2,1,597.1428571428571,0.19936204146730463,0.0
RENT,VENTURE,13.11,0.2,2,1,525.0,0.1984126984126984,0.08333333333333333
RENT,VENTURE,13.43,0.44,4,1,1291.6666666666667,0.43548387096774194,0.3333333333333333
RENT,EDUCATION,9.91,0.36,3,1,1809.5238095238096,0.35526315789473684,0.23809523809523808
RENT,PERSONAL,10.95,0.31,3,1,1954.5454545454545,0.313953488372093,0.2727272727272727
OWN,EDUCATION,19.47,0.17,3,1,1376.7272727272727,0.16508188061278395,0.0
RENT,DEBTCONSOLIDATION,10.65,0.39,3,1,1521.7391304347825,0.385,0.2608695652173913
MORTGAGE,DEBTCONSOLIDATION,14.54,0.2,2,1,1332.695652173913,0.1957457914654835,0.17391304347826086
RENT,VENTURE,14.26,0.46,4,1,1260.8695652173913,0.4646551724137931,0.043478260869565216
RENT,MEDICAL,12.61,0.46,3,1,1260.8695652173913,0.46379310344827585,0.17391304347826086
RENT,MEDICAL,11.36,0.38,3,1,1458.3333333333333,0.38285714285714284,0.3333333333333333
RENT,EDUCATION,9.99,0.35,2,1,1461.5384615384614,0.3526315789473684,0.11538461538461539
RENT,DEBTCONSOLIDATION,14.59,0.27,2,1,2272.7272727272725,0.267,0.0
RENT,DEBTCONSOLIDATION,7.66,0.4,4,1,1375.0,0.403030303030303,0.08333333333333333
RENT,PERSONAL,16.0,0.33,4,1,1661.4583333333333,0.3335423197492163,0.2916666666666667
RENT,VENTURE,10.37,0.55,2,1,960.0,0.5520833333333334,0.12
RENT,DEBTCONSOLIDATION,16.4,0.44,3,1,1363.6363636363637,0.44166666666666665,0.18181818181818182
RENT,DEBTCONSOLIDATION,11.36,0.4,4,1,1513.6363636363637,0.3978978978978979,0.0
RENT,DEBTCONSOLIDATION,13.49,0.35,3,1,1442.3076923076924,0.35333333333333333,0.23076923076923078
RENT,VENTURE,10.99,0.35,4,1,1669.5652173913043,0.3450520833333333,0.043478260869565216
RENT,PERSONAL,11.71,0.33,2,1,1538.4615384615386,0.33125,0.11538461538461539
RENT,PERSONAL,11.36,0.33,3,1,1600.0,0.33125,0.36
RENT,VENTURE,13.49,0.38,3,1,1346.1538461538462,0.37785714285714284,0.19230769230769232
RENT,PERSONAL,16.77,0.33,2,1,1818.1818181818182,0.330625,0.2727272727272727
RENT,EDUCATION,11.71,0.42,4,1,1431.8181818181818,0.41904761904761906,0.22727272727272727
MORTGAGE,HOMEIMPROVEMENT,7.9,0.48,4,1,1192.3076923076924,0.4838709677419355,0.34615384615384615
RENT,PERSONAL,14.91,0.24,2,1,2076.923076923077,0.24444444444444444,0.0
RENT,VENTURE,15.7,0.54,3,1,1142.857142857143,0.5416666666666666,0.09523809523809523
RENT,DEBTCONSOLIDATION,12.87,0.54,2,1,1142.857142857143,0.5416666666666666,0.23809523809523808
MORTGAGE,PERSONAL,14.84,0.29,4,1,1291.6666666666667,0.2903225806451613,0.3333333333333333
RENT,MEDICAL,16.29,0.46,3,1,1076.923076923077,0.4642857142857143,0.38461538461538464
RENT,PERSONAL,7.9,0.46,3,1,1120.0,0.4642857142857143,0.4
RENT,HOMEIMPROVEMENT,14.46,0.45,2,1,1107.6923076923076,0.4513888888888889,0.0
MORTGAGE,PERSONAL,11.36,0.4,3,1,1240.0,0.3951612903225806,0.08
RENT,VENTURE,13.11,0.43,3,1,1363.6363636363637,0.43333333333333335,0.09090909090909091
RENT,EDUCATION,13.11,0.42,2,1,1485.7142857142858,0.4166666666666667,0.0
RENT,EDUCATION,13.57,0.38,4,1,1300.0,0.38461538461538464,0.15384615384615385
RENT,MEDICAL,9.63,0.38,2,1,1307.6923076923076,0.38235294117647056,0.07692307692307693
RENT,MEDICAL,13.22,0.37,2,1,1400.0,0.37142857142857144,0.2
RENT,EDUCATION,17.27,0.36,4,1,1500.0,0.3611111111111111,0.3333333333333333
RENT,DEBTCONSOLIDATION,7.29,0.36,3,1,1500.0,0.3611111111111111,0.2916666666666667
