loan_int_rate,loan_percent_income,person_cred_hist_length,income_to_age_ratio,loan_amt_to_income_ratio,emp_length_to_age_ratio,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_status
13.99,0.08,12,2622.222222222222,0.0813559322033898,0.2444444444444444,True,False,False,False,False,True,False,False,False,False,1
14.27,0.13,2,1153.8461538461538,0.1333333333333333,0.1153846153846153,False,False,False,True,False,False,False,True,False,False,1
9.91,0.27,17,2682.9268292682927,0.2727272727272727,0.1707317073170731,True,False,False,False,False,False,False,False,False,True,0
11.36,0.19,17,1594.5945945945946,0.1864406779661017,0.1891891891891892,True,False,False,False,False,False,False,True,False,False,0
12.99,0.1,13,1722.2222222222222,0.0967741935483871,0.0,True,False,False,False,False,False,False,False,False,True,0
11.12,0.06,2,2863.6363636363635,0.0634920634920634,0.2727272727272727,False,False,False,True,False,False,True,False,False,False,1
8.9,0.07,15,857.1428571428571,0.0714285714285714,0.2448979591836734,True,False,False,False,False,False,False,True,False,False,1
12.99,0.17,2,1115.3846153846157,0.1724137931034483,0.2307692307692307,False,False,False,True,False,False,False,True,False,False,1
13.47,0.29,12,692.1052631578947,0.2851711026615969,0.0263157894736842,False,False,False,True,True,False,False,False,False,False,1
13.06,0.11,4,1730.7692307692307,0.1066666666666666,0.0769230769230769,False,False,False,True,False,False,False,False,True,False,0
6.03,0.31,15,616.2162162162163,0.3070175438596491,0.4864864864864865,False,False,True,False,False,True,False,False,False,False,0
14.72,0.12,4,1826.0869565217392,0.1166666666666666,0.0869565217391304,False,False,False,True,False,True,False,False,False,False,0
14.61,0.34,4,636.3636363636364,0.3392857142857143,0.0909090909090909,False,False,False,True,False,False,False,False,True,False,1
6.62,0.19,4,1750.0,0.1904761904761904,0.3333333333333333,False,False,True,False,False,True,False,False,False,False,0
9.63,0.24,4,1632.0,0.2377450980392156,0.36,True,False,False,False,False,False,False,True,False,False,0
17.99,0.24,12,3351.3513513513512,0.2419354838709677,0.1081081081081081,True,False,False,False,False,False,True,False,False,False,0
6.91,0.04,15,986.842105263158,0.0366666666666666,0.0,False,False,False,True,False,True,False,False,False,False,0
13.49,0.05,16,1382.978723404255,0.0476923076923076,0.0212765957446808,False,False,False,True,False,False,False,True,False,False,0
5.79,0.2,3,1854.5454545454545,0.1954656862745098,0.2727272727272727,True,False,False,False,False,False,False,False,True,False,0
18.39,0.08,15,1027.7777777777778,0.081081081081081,0.1388888888888889,True,False,False,False,False,False,False,True,False,False,1
12.61,0.2,22,480.7692307692308,0.2,0.4423076923076923,False,False,False,True,False,False,False,True,False,False,1
11.36,0.27,14,789.4736842105264,0.2666666666666666,0.1578947368421052,False,False,False,True,False,False,False,True,False,False,0
11.03,0.11,4,1954.3636363636365,0.1116382919341334,0.1363636363636363,False,False,False,True,False,False,False,False,True,False,0
